キー	旧・英文	旧・訳	新・英文	新・訳
a_sheet_of	She carefully placed a sheet of parchment paper onto the table before starting her drawing.	彼女は、絵を描き始める前に、丁寧に一枚の羊皮紙をテーブルの上に置きました。	He wrote his phone number on a sheet of blank paper.	彼は白紙の1枚の紙に電話番号を書いた。
a_such_as_b	She enjoys fruits, such as apples and bananas, for a healthy breakfast.	彼女はリンゴやバナナのような果物をおいしい朝食に食べるのが好きです。	She grows fruits such as apples in her garden.	彼女は庭でりんごのような果物を育てている。
a_variety_of	The museum displayed a variety of ancient artifacts from different cultures.	その博物館では、さまざまな文化から来た古代の遺物が展示されていました。	The museum displays a variety of artifacts from ancient civilizations.	その博物館は古代文明のいろいろな遺物を展示している。
a_white_elephant	The unused stadium became a white elephant for the city after the Olympics.	オリンピック後、その未使用のスタジアムは都市にとって無用の長物となった。	The unused stadium became a white elephant for the small city.	使われなくなったスタジアムはその小さな都市にとって無用の長物となった。
abandon	The hikers had to abandon their camping trip due to the sudden storm.	ハイカーたちは急な嵐のためにキャンプ旅行を中止せざるを得なかった。	The sailors were forced to abandon their sinking ship at midnight.	船員たちは真夜中に沈みゆく船を放棄することを余儀なくされた。
abdominal	The doctor examined her for any signs of abdominal pain during the physical checkup.	医師は身体検査中に彼女の腹部に痛みがないかを確認した。	The athlete suffered a painful abdominal injury during the marathon.	その選手はマラソン中に痛い腹部の負傷を負った。
abhor	Many people abhor violence and strive to create a more peaceful world for everyone.	多くの人々は暴力を嫌悪し、すべての人にとってより平和な世界を創造しようと努力している。	Many readers abhor cruelty toward animals in any form of fiction.	多くの読者はどんな形の物語であれ、動物への残酷さを忌み嫌う。
abide_by	All employees are expected to abide by the company’s strict code of conduct.	すべての従業員は会社の厳格な行動規範に従う必要があります。	Every citizen is expected to abide by the traffic laws strictly.	すべての市民は交通法規に厳格に従うことが求められている。
ability	Her ability to learn new languages quickly is truly impressive and remarkable.	彼女が新しい言語を素早く習得する能力は本当に印象的で素晴らしいです。	Her ability to solve complex problems impressed everyone at work.	複雑な問題を解決する彼女の能力は職場の皆を感心させた。
able	If you study diligently, you will be able to pass the difficult exam.	もし一生懸命勉強すれば、難しい試験に合格できるでしょう。	Thanks to months of practice, she became able to play the violin well.	何か月もの練習のおかげで，彼女はバイオリンを上手に演奏できるようになった。
abnormality	The scientist noticed an abnormality in the patient’s test results, requiring further investigation.	科学者は患者の検査結果に異常があり、さらなる調査が必要だと気づいた。	Doctors detected an abnormality in the patient's heart rhythm today.	医師たちは今日、患者の心臓のリズムに異常を発見した。
abolish	The government plans to abolish the outdated law next year, bringing about significant changes.	政府は来年、時代遅れの法律を廃止し、大きな変化をもたらす計画です。	Lawmakers voted to abolish the outdated tax on small businesses.	議員たちは中小企業への時代遅れの税を廃止するために投票した。
aboriginal	The museum showcased artifacts from the region’s aboriginal people, highlighting their rich cultural heritage.	その博物館は、地域の先住民族の遺物を展示し、彼らの豊かな文化的遺産を強調しました。	Aboriginal art often reflects deep spiritual connections to the land.	アボリジニの芸術はしばしば土地との深い精神的なつながりを反映している。
abort	Due to unforeseen complications, the company had to abort the project and start over.	予期せぬ問題が発生したため、会社はプロジェクトの中止と再開を余儀なくされた。	Engineers decided to abort the rocket launch due to bad weather.	エンジニアたちは悪天候のためロケットの打ち上げを中止することにした。
abortion	The debate surrounding abortion remains a complex and deeply divisive issue in many countries.	妊娠中絶を取り巻く議論は、多くの国で複雑で深く意見が分かれる問題であり続けている。	The clinic offers counseling to patients considering an abortion procedure.	そのクリニックは中絶手術を検討している患者にカウンセリングを提供している。
abound	The forest abounds with wildlife, including deer, foxes, and various bird species.	その森にはシカ、キツネ、様々な鳥類など、野生動物が豊富に生息している。	Wild berries abound in the forest during the late summer months.	晩夏の頃、森には野生のベリーが豊富である。
abound_in_with	The local market abound with fresh fruits and vegetables, especially during harvest season.	その地元の市場は、特に収穫期には新鮮な果物や野菜が豊富にある。	This region abounds in natural resources like timber and fresh water.	この地域は木材やきれいな水などの天然資源に富む。
above	The temperature is expected to rise above thirty degrees Celsius tomorrow afternoon.	明日の午後は気温が30度を超える見込みです。	A hawk circled slowly above the open field.	タカがゆっくりと開けた野原の上方を旋回した。
above_all	Above all, remember to double-check your answers before submitting them.	何よりもまず、提出する前に解答を再確認してください。	Above all, remember to lock the front door.	とりわけ、玄関の鍵をかけることを忘れないで。
above_all_else	Above all else, remember to stay calm and focused during the exam.	何よりもまず、試験中は落ち着いて集中することを忘れないでください。	Above all else, we must remain honest with our closest friends.	とりわけ、私たちは親しい友人に対して正直であるべきだ。
abridged	She purchased an abridged version of the classic novel to make it easier to read.	彼女は古典小説を読みやすくするために、簡略版を購入した。	Students read an abridged version of the classic novel for homework.	生徒たちは宿題のためにその古典小説の簡約版を読んだ。
abroad	After graduating from university, many students choose to travel abroad for a year.	大学卒業後、多くの学生は1年間海外旅行に行くことを選びます。	Ken finally decided to study abroad for a full year.	健はついに1年間外国で学ぶことを決意した。
abrupt	The rain started with an abrupt downpour that surprised everyone walking by.	雨は突然の豪雨となって始まり、通り過ぎる全ての人々を驚かせました。	The meeting came to an abrupt end when the fire alarm rang.	火災警報が鳴ったとき、会議は突然の終わりを迎えた。
abruptly	The meeting was abruptly cancelled due to an urgent matter requiring immediate attention.	緊急の事柄があり、会議は突然中止された。	The car in front of us stopped abruptly at the intersection.	私たちの前の車は交差点で不意に停止した。
absence	Her absence from the meeting raised concerns among the project team members.	彼女の会議への不在は、プロジェクトチームメンバーの間で懸念を引き起こしました。	His long absence from work worried his colleagues throughout the week.	彼の仕事からの長い不在は、一週間ずっと同僚たちを心配させた。
absent	He was absent from class yesterday because he had a doctor's appointment.	彼は昨日、医者の予約があったので授業を欠席しました。	Nearly half the class was absent due to the sudden flu.	急なインフルエンザのため、クラスのほぼ半分が欠席だった。
absolute	The scientist insisted there was absolute certainty about the results of the experiment.	その科学者は実験の結果について絶対的な確実性があると主張しました。	She has absolute confidence in her team's ability to succeed.	彼女はチームが成功する能力に絶対的な自信を持っている。
absolutely	I absolutely agree with your proposal to extend the deadline for the assignment.	私は宿題の締め切りを延長するというあなたの提案に全く賛成です。	She was absolutely certain that the plan would succeed after months of work.	彼女は何ヶ月もの努力の末、その計画がうまくいくとまったく確信していた。
absorb	She was so engrossed in the novel that she completely absorbed herself in the story’s world.	彼女は小説に夢中になり、物語の世界に完全に没頭した。	He was absorbed in his book and did not hear the bell ring.	彼は本に没頭していて、ベルが鳴るのが聞こえなかった。
absorption	The child's absorption in building a Lego castle was truly remarkable and endearing.	レゴのお城を作ることに夢中になっている子供の姿は、本当に素晴らしくて心を打たれました。	Her absorption in the novel kept her awake until midnight.	彼女がその小説に没頭していたせいで、彼女は真夜中まで眠れなかった。
abstain	Due to ethical considerations, she chose to abstain from voting on the controversial bill.	倫理的な配慮から、彼女は物議を醸している法案への投票を棄権することにしました。	Doctors advised him to abstain from alcohol for six months.	医者は彼に六か月間お酒を控えるよう助言した。
abstract	The artist’s abstract sculptures challenge viewers to interpret their meaning and form.	芸術家の抽象的な彫刻は、鑑賞者にその意味と形を解釈するように促します。	Justice is an abstract idea that is hard to define precisely.	正義は正確に定義するのが難しい抽象的な概念だ。
absurd	It was absurd to think that he believed a talking cat could solve his problems.	彼が問題を解決してくれると信じている猫が話すなんて、ばかげている。	It seemed absurd to cancel the trip because of light rain.	小雨のために旅行を中止するのはばかげているように思えた。
abundance	The farmer celebrated an abundance of apples this year, promising a good harvest.	農家は今年、リンゴが豊富であることを祝い、豊作となることを約束しました。	There is an abundance of fish in this clear mountain lake.	この澄んだ山の湖には魚が豊富にいる。
abundant	The region has abundant water, so farmers rarely worry about drought.	その地域は水が豊富なので、農家は干ばつをほとんど心配しない。	Sunlight remains abundant in this region throughout most of the year.	この地域では一年の大半を通じて日光が豊富だ。
abuse	It is crucial to report any suspected abuse of vulnerable individuals immediately.	脆弱な個人の虐待が疑われる場合は、直ちに報告することが重要です。	Some students abuse the library computers by installing unauthorized software.	一部の学生は許可されていないソフトを入れて図書館のコンピューターを誤用する。
academic	She decided to pursue an academic career after completing her doctorate in history.	彼女は歴史学の博士号を取得した後、学術的なキャリアを追求することに決めました。	The professor gave a purely academic explanation of the theory.	その教授はその理論について純粋に学問的な説明をした。
academy	He plans to apply to the prestigious art academy after completing his high school education.	彼は高校を修了した後、有名な芸術学院への入学を計画しています。	He was accepted into a prestigious academy for young musicians.	彼は若い音楽家のための名門高等教育機関に受け入れられた。
accelerate	The company plans to accelerate its research and development efforts in renewable energy.	その会社は再生可能エネルギー分野の研究開発努力を加速させる計画だ。	The driver accelerated the car quickly to merge onto the highway.	運転手は高速道路に合流するため車を素早く加速させた。
accent	Her distinct regional accent made it immediately clear where she was from.	彼女の独特な方言は、彼女がどこ出身かを知る手がかりになりました。	She spoke English with a strong French accent that everyone noticed.	彼女は誰もが気づく強いフランス語訛りで英語を話した。
accept	Please accept our sincere apologies for any inconvenience this may have caused you.	この件でご迷惑をおかけし大変申し訳ございません、どうかお受け取りください。	The professor agreed to accept my late assignment without penalty.	教授は私の遅れた課題を罰則なしで受け入れることに同意した。
accept_a_as_b	We must accept climate change as a serious threat to our planet’s future.	私たちは気候変動を地球の未来に対する深刻な脅威として受け入れなければなりません。	The committee decided to accept his proposal as the final plan.	委員会は彼の提案を最終案として認めることにした。
acceptable	The company's revised policy is now considered an acceptable compromise for all parties involved.	会社の改訂された方針は、関係者全員にとって受け入れ可能な妥協案と見なされています。	Such behavior is simply not acceptable in a professional workplace.	そのような行動はプロの職場では単に受け入れられない。
acceptance	The team showed their acceptance of the new captain with enthusiastic applause.	チームは新しいキャプテンを熱狂的な拍手で迎え、その受容を示しました。	His quiet acceptance of the decision surprised everyone in the room.	彼がその決定を静かに受諾したことは、部屋にいた全員を驚かせた。
access	Students with disabilities must have easy access to all campus facilities.	障がいを持つ学生は、キャンパス内のすべての施設に容易にアクセスできなければなりません。	Every student in the school now has access to free online textbooks.	学校の全生徒は無料のオンライン教科書を利用できるようになった。
accessory	She added a delicate silver necklace as a subtle accessory to her evening gown.	彼女は、さりげない装飾として、繊細な銀のネックレスをイブニングドレスに合わせました。	The report includes several accessory documents that support the main argument.	その報告書には主張を裏付けるいくつかの補助的な文書が含まれている。
accident	Thankfully, no one was seriously hurt in the car accident on the highway.	幸いなことに、高速道路での自動車事故で重傷を負った人はいませんでした。	A minor accident on the highway caused a long traffic delay.	高速道路での小さな事故が長い交通渋滞を引き起こした。
accidental	Her accidental discovery of the hidden manuscript changed the course of history.	彼女の偶然の隠された写本の発見は、歴史の流れを変えた。	The discovery of penicillin was almost entirely accidental, scientists later admitted.	ペニシリンの発見はほぼ完全に偶然のものだったと科学者は後に認めた。
accidentally	I accidentally deleted all my photos from my phone last night.	私は昨夜、うっかり携帯電話の写真をすべて消去してしまいました。	I accidentally deleted an important file just before the deadline.	私は締め切り直前に重要なファイルを誤って削除してしまった。
acclaim	The film received widespread acclaim for its stunning visuals and powerful story.	その映画は、素晴らしい映像と心に響くストーリーで広く賞賛されました。	Critics around the world acclaimed the young director's first feature film.	世界中の評論家がその若い監督の初長編映画を賞賛した。
accommodate	The hotel can accommodate up to fifty guests, providing a comfortable stay for all.	そのホテルは最大50名の宿泊客を収容でき、すべてのお客様に快適な滞在を提供します。	The small inn can accommodate up to twenty guests overnight.	その小さな宿は一晩に最大二十人の客を宿泊させることができる。
accommodation	We need to book accommodation in advance if we want a good hotel near the city center.	市街地センターの近くの良いホテルを希望するなら、宿泊施設を事前に予約する必要があります。	The travel agency arranged comfortable accommodation for the entire family.	その旅行会社は家族全員のために快適な宿泊施設を手配した。
accompany	The guide will accompany the tourists on a tour of the ancient ruins.	ガイドは観光客を古代遺跡のツアーに同行します。	Her older brother agreed to accompany her to the job interview.	彼女の兄は面接に彼女と一緒に行くことに同意した。
accomplish	With hard work and dedication, she managed to accomplish her ambitious goals.	勤勉さと献身をもって、彼女は野心的な目標を達成することに成功した。	The small team managed to accomplish their goal ahead of schedule.	その小さなチームは予定より早く目標を成し遂げることができた。
accomplishment	Graduating from university is a significant accomplishment that requires dedication and hard work.	大学を卒業することは、献身と努力が必要な大きな業績です。	Completing the difficult project on time was a splendid accomplishment for the new team.	期限内に難しいプロジェクトを完了させたことは、新しいチームにとって見事な完成だった。
accord	After lengthy negotiations, the two countries finally reached an accord on trade policies.	長い交渉の末、両国はついに貿易政策について合意に達しました。	His account of the accident did not accord with the witness's statement.	彼の事故についての説明は目撃者の証言と一致しなかった。
according	According to the latest research, climate change is accelerating at an alarming rate.	最新の研究によれば、気候変動は驚くべき速さで加速しています。	The seats were arranged according to each guest's assigned number.	席は各ゲストに割り当てられた番号に一致して並べられた。
according_to	According to the latest research, climate change is accelerating rapidly.	最新の研究によれば、気候変動は急速に加速している。	According to the weather forecast, it will rain heavily tomorrow.	天気予報によれば、明日は激しい雨が降るだろう。
accordingly	The weather forecast predicted rain; accordingly, we brought umbrellas with us today.	天気予報は雨を予測していました。それ相応に、今日は傘を持ってきました。	The plan failed, so the team adjusted their strategy accordingly.	計画が失敗したので、チームはそれに応じて戦略を調整した。
account	Her explanation doesn't account for all the evidence presented at the trial.	彼女の説明は、裁判で提示されたすべての証拠を説明していません。	The witness gave a detailed account of what happened that night.	目撃者はその夜起きたことについて詳しい説明をした。
account_for	Sales accounted for 60% of the company's total revenue last quarter, demonstrating strong performance.	先四半期、売上高は会社の総収入の60％を占め、強いパフォーマンスを示しました。	Heavy traffic might account for his late arrival at the meeting.	激しい交通渋滞が彼の会議への遅刻の説明となるかもしれない。
accountable	As a manager, she is accountable for the performance of her entire team.	彼女はマネージャーとして、チーム全体のパフォーマンスに対して責任があります。	Every manager should be held accountable for the mistakes their team makes.	すべての管理者はチームが犯す間違いについて責任があるとされるべきだ。
accounting	Many students choose accounting as their major because it offers diverse career opportunities.	多くの学生が会計学を専攻に選ぶのは、多様なキャリアの機会があるからです。	She studied accounting at a local college before joining a major bank.	彼女は大手銀行に入る前に地元の大学で経理を学んだ。
accumulate	Over time, dust and debris will accumulate on surfaces if they are not regularly cleaned.	定期的に清掃しないと、時間の経過とともに表面に埃やゴミが蓄積されます。	Over the decades, the museum accumulated thousands of rare artifacts.	何十年もかけて、その博物館は何千もの貴重な遺物を蓄積した。
accuracy	The accuracy of the data is crucial for making informed decisions about the project’s future.	プロジェクトの将来について十分な情報に基づいて決定を下すためには、データの正確さが重要です。	The scientist checked her data again to confirm its accuracy.	その科学者はデータの正確さを確かめるために再度確認した。
accurate	The weather forecast was surprisingly accurate for once; it actually rained as predicted.	天気予報は珍しく正確だった。予測通りに雨が降ったのだ。	The old map was no longer accurate after the flood changed the coastline.	洪水が海岸線を変えた後、その古い地図はもはや正確ではなくなった。
accusation	The politician faced a serious accusation of corruption and denied all involvement.	その政治家は汚職の深刻な非難に直面し、一切関与を否定しました。	He denied the serious accusation immediately and demanded a public apology.	彼はその深刻な非難をすぐに否定し、公の謝罪を求めた。
accuse	The police will accuse him of theft if they find evidence linking him to the crime.	警察は彼を結びつける証拠が見つかれば、窃盗で彼を訴えるでしょう。	The manager accused him of ignoring the company's safety rules again.	部長は彼が会社の安全規則を再び無視したと非難した。
accuse_a_of_b	The police accused the suspect of stealing valuable artifacts from the museum.	警察は、容疑者を博物館から貴重な美術品を盗んだとして告発した。	The prosecutor publicly accused the man of stealing confidential company documents.	検察官はその男が機密の会社文書を盗んだとして公然と非難した。
accustom	Living abroad will help you accustom yourself to different cultures and perspectives.	海外生活はあなたに異なる文化や視点への慣れを手助けするだろう。	Years of travel accustomed her to sudden changes in plans.	何年もの旅行が彼女を予定の急な変更に慣れさせた。
accustomed	After living abroad for so long, she is accustomed to eating spicy food.	彼女は海外で長い間暮らしているため、辛いものを食べることに慣れています。	After years abroad, he grew accustomed to eating spicy food daily.	何年も海外で過ごした後、彼は毎日辛い食べ物を食べるのに慣れていた。
ache	My back really aches after carrying those heavy textbooks all day.	今日は重たい教科書を一日中背負っていたので、背中がとても痛みます。	Her legs ached badly for two days after running the marathon.	彼女の脚はマラソンを走った後、二日間ひどく痛んだ。
achieve	With dedication and perseverance, she was able to achieve her ambitious goals.	献身と忍耐力があれば、彼女は野心的な目標を達成できました。	Through daily training, the swimmer finally achieved her personal best.	毎日の練習を通じて，その水泳選手はついに自己ベストを達成した。
achievement	Winning the national science competition was a significant achievement for her entire team.	全国科学コンテストで優勝は、彼女のチーム全体の大きな成果でした。	Her outstanding achievement this semester earned praise from every teacher.	彼女の今学期の優れた学業成績はすべての教師から称賛を得た。
acid	The lemon juice had a surprisingly strong acid taste.	レモンジュースは予想以上に強い酸味があった。	The chemist carefully added a few drops of acid to the solution.	その化学者は溶液に酸を数滴慎重に加えた。
acid_rain	Acid rain damages forests and aquatic ecosystems, posing a significant environmental threat.	酸性雨は森林や水生生態系に損害を与え、重大な環境的脅威をもたらします。	Acid rain has damaged many ancient stone buildings across the city.	酸性雨は街中の多くの古い石造りの建物を傷めてきた。
acknowledge	The company decided to acknowledge their mistake and offer a public apology.	会社は間違いを認め、公の場で謝罪することに決めました。	After the investigation, managers finally acknowledged the mistake and apologized formally.	調査の後、経営陣はついにその過ちを認め、正式に謝罪した。
acknowledgment	The company sent an acknowledgment letter to its loyal customers for their continued support.	会社は、継続的なサポートに対する感謝を込めて、ロイヤルカスタマーに感謝状を送りました。	He received a small gift as an acknowledgment of his years of service.	彼は長年の勤続への感謝のしるしとして小さな贈り物を受け取った。
acoustic	They chose an acoustic guitar for a more intimate and heartfelt performance.	彼らはより親密で心に響くパフォーマンスのために、アコースティックギターを選びました。	Engineers studied the room's acoustic properties before installing the speakers.	エンジニアはスピーカーを設置する前にその部屋の音響の性質を調べた。
acquaint	The professor hopes to acquaint students with the latest research in artificial intelligence.	教授は、学生たちに人工知能における最新の研究を知らせたいと思っています。	The guide will acquaint new visitors with the museum's safety rules.	ガイドは新しい来館者に博物館の安全規則を詳しく知らせるだろう。
acquaintance	She recognized him as a distant acquaintance from her university days.	彼女は彼を大学時代の知り合いだと認識しました。	I ran into an old acquaintance at the train station yesterday.	私は昨日駅で古い知人にばったり会った。
acquainted	I’m not very acquainted with modern art, so I often feel confused at exhibitions.	私は現代アートにはあまり詳しくないので、展示会ではよく混乱してしまいます。	The two scientists became acquainted during a conference last spring.	その二人の科学者は昨春の学会で知り合いになった。
acquire	To improve his fluency, he decided to acquire new vocabulary every day.	流暢さを向上させるために、彼は毎日新しい語彙を獲得することに決めました。	Children can acquire a second language surprisingly quickly before age ten.	子供は十歳になる前に驚くほど早く第二言語を習得できる。
acre	The farmer owns a vast plot of land, comprising over fifty acres for growing crops.	その農家は広大な土地を所有しており、作物を育てるために50エーカー以上あります。	The farmer planted corn across nearly a hundred acres of land.	その農家はほぼ百エーカーの土地にトウモロコシを植えた。
across	The hikers walked across the narrow bridge over the river gorge.	ハイカーたちは川の峡谷にかかる狭い橋を渡りました。	A wooden bridge stretched across the narrow river near the village.	木製の橋が村の近くの狭い川を横切って伸びていた。
across_from	The bakery is located across from the park, making it easy to find.	パン屋は公園の向かい側にあり、見つけやすい場所にあります。	A small bakery stands across from the old library.	小さなパン屋が古い図書館の向かい側にある。
act	Please act responsibly and consider the consequences of your decisions.	責任を持って行動し、あなたの決断の結果を考えてください。	To save the trapped family, firefighters had to act quickly.	閉じ込められた家族を救うため、消防士たちは迅速に行動しなければならなかった。
act_on	She decided to act on her instincts and quit her unfulfilling job.	彼女は自分の直感に従って、不満のあった仕事を辞めることにした。	The team quickly acted on the scientist's warning about the storm.	そのチームは嵐についての科学者の警告にすぐに従って行動した。
act_on_upon	The company decided to act upon the customer feedback and improve its services.	会社は顧客からのフィードバックに基づいて行動し、サービスを改善することに決定した。	The council finally decided to act upon the urgent housing problem.	議会はついにその緊急の住宅問題に取り組むことを決めた。
act_out	The shy student felt awkward as he had to act out a scene from the play.	内気な学生は、劇の一場面を演じることになり、居心地が悪かった。	The children happily acted out their favorite fairy tale for parents.	子供たちは両親のために大好きなおとぎ話を身振りで実演した。
act_up	The old car started to act up again, making strange noises and refusing to start.	その古い車はまた、奇妙な音を立てて、始動しなくなるなど、不調を起こしました。	His old knee injury started to act up again during the race.	レース中に彼の古い膝のけがが再発し始めた。
action	Taking immediate action is crucial to resolving this urgent situation effectively.	この緊急事態を効果的に解決するためには、迅速な行動が不可欠です。	The government finally took action to reduce air pollution downtown.	政府はついに都心の大気汚染を減らすための行動を取った。
activate	Please activate your account by clicking the link in the confirmation email.	確認メールにあるリンクをクリックしてアカウントを有効にしてください。	Sunlight can activate certain chemicals hidden inside the leaf's cells.	日光は葉の細胞内に隠れた特定の化学物質を活性化することがある。
active	She leads an active lifestyle, enjoying hiking, swimming, and playing sports regularly.	彼女は活発なライフスタイルを送っていて、ハイキングや水泳、スポーツを定期的に楽しんでいます。	Even at eighty, my grandmother stays remarkably active every single day.	80歳になっても，祖母は毎日とても活動的だ。
actively	She actively participates in community events to promote environmental awareness.	彼女は環境保護意識を高めるために、積極的に地域イベントに参加しています。	Local residents actively participated in the town's recycling program last year.	地元住民は昨年、町のリサイクル計画に積極的に参加した。
activist	The environmental activist dedicated her life to protecting endangered species and their habitats.	その環境活動家は、絶滅危惧種とその生息地を保護することに人生を捧げました。	The young activist organized a peaceful march for cleaner rivers.	その若い活動家はよりきれいな川を求める平和的な行進を企画した。
activity	Volunteering at the animal shelter was a rewarding activity for everyone involved.	動物保護シェルターでのボランティア活動は、参加者全員にとってやりがいのあるものでした。	Volunteering became her favorite activity during the long summer break.	ボランティアは彼女にとって長い夏休みの一番好きな活動になった。
actor	The young actor quickly gained recognition for his compelling performance in the drama.	その若手の俳優は、ドラマでの印象的な演技で急速に注目を集めました。	The actor practiced his lines every night before the play.	その俳優は劇の前に毎晩せりふを練習した。
actual	The actual cost of the renovation was higher than originally estimated.	実際の改修費用は当初の見積もりよりも高かった。	Nobody knew the actual cost of repairing the damaged bridge.	損傷した橋の修理の実際の費用を誰も知らなかった。
actualization	The workshop focused on helping students achieve self-actualization through creative expression.	そのワークショップは、創造的な表現を通して生徒が自己実現を達成するのを手伝うことに焦点を当てていました。	Reaching true actualization of one's goals takes years of patience.	自分の目標の真の実現化を達成するには何年もの忍耐が必要だ。
actually	I actually prefer coffee to tea, although many people enjoy tea more.	実は私は紅茶よりもコーヒーが好きだが、多くの人が紅茶を楽しむ。	I actually forgot my umbrella at the coffee shop yesterday.	私は実際に昨日コーヒーショップに傘を忘れてしまった。
acute	The patient was suffering from an acute pain in his lower back, requiring immediate medical attention.	患者は背中の下部に激しい痛みがあり、緊急の医療処置が必要です。	She suddenly felt an acute pain in her lower back during practice.	彼女は練習中に突然、腰に激しい痛みを感じた。
ad	I saw an ad for a new restaurant downtown, and it looks amazing!	ダウンタウンで新しいレストランの広告を見ました、とても美味しそう！	A clever ad convinced thousands of people to try the product.	巧妙な広告が何千人もの人々にその商品を試させた。
adapt	The company had to adapt its business model to survive the changing market conditions.	会社は変化する市場状況に対応してビジネスモデルを適応せざるを得ませんでした。	Many animals adapt quickly to changes in their natural habitat.	多くの動物は自然の生息地の変化に素早く順応する。
adapt_a_to	Scientists are working hard to adapt the technology to meet the needs of rural communities.	科学者たちは、その技術を農村コミュニティのニーズに適合させるために懸命に取り組んでいます。	Teachers must adapt their lessons to each student's ability level.	教師は授業を各生徒の能力レベルに適応させなければならない。
adapt_to	It takes time to adapt to a new culture and way of life.	新しい文化や生活習慣に慣れるには時間がかかります。	It took the new employee weeks to adapt to the busy schedule.	その新入社員が忙しいスケジュールに順応するには数週間かかった。
