種類	デッキ	前	後
見出し語の復元	大学受験英熟語	get tired from | 〔with〕 ～ ～で疲れる	get tired from 〔with〕 ～ | ～で疲れる
見出し語の復元	大学受験英熟語	get together ( | ～) 集まる、～を集める	get together (～) | 集まる、～を集める
見出し語の復元	大学受験英熟語	give ( | 人) a hand ～(人)に手を貸す ～(人)の手助けをする	give (人) | a hand ～(人)に手を貸す ～(人)の手助けをする
見出し語の復元	大学受験英熟語	give | ～ a call 〔a ring〕 ～に電話をかける	give ～ a call 〔a ring〕 | ～に電話をかける
見出し語の復元	大学受験英熟語	give | ～ a ride 〔lift〕 ～を車に乗せてあげる ～を車で送る	give ～ a ride 〔lift〕 | ～を車に乗せてあげる ～を車で送る
見出し語の復元	大学受験英熟語	give | ～ a try ～を試してみる 挑戦してみる	give ～ a try | ～を試してみる 挑戦してみる
見出し語の復元	大学受験英熟語	give in (to | ～) （～に）屈する ～に従う	give in (to ～) | （～に）屈する ～に従う
見出し語の復元	大学受験英熟語	give way (to | ～) （～に）降参〔屈服〕する （～に）道を譲る	give way (to ～) | （～に）降参〔屈服〕する （～に）道を譲る
見出し語の復元	大学受験英熟語	go on (with | ～) ～を続ける 続く	go on (with ～) | ～を続ける 続く
見出し語の復元	大学受験英熟語	go on ...ing | 〔with ～〕 ...し〔～を〕続ける	go on ...ing 〔with ～〕 | ...し〔～を〕続ける
見出し語の復元	大学受験英熟語	go wrong (with | ～) （～が）うまくいかない	go wrong (with ～) | （～が）うまくいかない
見出し語の復元	大学受験英熟語	hang onto/on (to | ～) （～を）手放さない （～に）しがみつく	hang onto/on (to ～) | （～を）手放さない （～に）しがみつく
見出し語の復元	大学受験英熟語	hardly | ～ when 〔before〕 ... ～するとすぐ...する	hardly ～ when 〔before〕 ... | ～するとすぐ...する
見出し語の復元	大学受験英熟語	have | ～ in mind ～のことを思って〔意図して〕いる	have ～ in mind | ～のことを思って〔意図して〕いる
見出し語の復元	大学受験英熟語	have | ～ on one's mind ～のことを気にかける ～を心配している	have ～ on one's mind | ～のことを気にかける ～を心配している
見出し語の復元	大学受験英熟語	have a look [take a look] (at | ～) （～を）見る	have a look [take a look] (at ～) | （～を）見る
見出し語の復元	大学受験英熟語	have a say (in | ～) （～に）発言権［発言力］を持つ	have a say (in ～) | （～に）発言権［発言力］を持つ
見出し語の復元	大学受験英熟語	have an eye | 〔a good eye〕 for ～ ～に対する眼識[鑑識力]がある	have an eye 〔a good eye〕 for ～ | ～に対する眼識[鑑識力]がある
見出し語の復元	大学受験英熟語	have an impact | 〔 effect；influence〕 on ～ ～に影響を及ぼす	have an impact 〔 effect；influence〕 on ～ | ～に影響を及ぼす
見出し語の復元	大学受験英熟語	have difficulty | 〔trouble〕 (in) ...ing ...するのに苦労する	have difficulty 〔trouble〕 (in) ...ing | ...するのに苦労する
見出し語の復元	大学受験英熟語	have/take | ～ off ～を休みとしてとる	have/take ～ off | ～を休みとしてとる
見出し語の復元	大学受験英熟語	hit it off (with | ～) （人と）仲良くなる[意気投合する]	hit it off (with ～) | （人と）仲良くなる[意気投合する]
見出し語の復元	大学受験英熟語	hold true | 〔good〕 当てはまる 適用できる	hold true 〔good〕 | 当てはまる 適用できる
見出し語の復元	大学受験英熟語	hold/keep | ～ in check ～を抑える[食い止める]	hold/keep ～ in check | ～を抑える[食い止める]
見出し語の復元	大学受験英熟語	hope | 〔wish〕 for ～ ～を望む	hope 〔wish〕 for ～ | ～を望む
見出し語の復元	大学受験英熟語	If it were not | 〔had not been〕 for ～ もし～がないなら〔なかったら〕	If it were not 〔had not been〕 for ～ | もし～がないなら〔なかったら〕
見出し語の復元	大学受験英熟語	in a sense | 〔way〕 ある意味で	in a sense 〔way〕 | ある意味で
見出し語の復元	大学受験英熟語	in addition (to | ～) （～に）加えて さらに	in addition (to ～) | （～に）加えて さらに
見出し語の復元	大学受験英熟語	in comparison with | 〔to〕 ～ ～と比較すると	in comparison with 〔to〕 ～ | ～と比較すると
見出し語の復元	大学受験英熟語	in exchange of | 〔for〕 ～ ～と引き換えに ～の代わりに	in exchange of 〔for〕 ～ | ～と引き換えに ～の代わりに
見出し語の復元	大学受験英熟語	in fact | 〔reality〕 実は 実際には	in fact 〔reality〕 | 実は 実際には
見出し語の復元	大学受験英熟語	in need (of | ～) （～を）必要として	in need (of ～) | （～を）必要として
見出し語の復元	大学受験英熟語	in order that S may | 〔can / will〕 ... ...するために	in order that S may 〔can / will〕 ... | ...するために
見出し語の復元	大学受験英熟語	in proportion (to | ～) （～に）比例して つり合って	in proportion (to ～) | （～に）比例して つり合って
見出し語の復元	大学受験英熟語	in store (for | ～) （～のために）用意して、（～の身に）降りかかろうとして	in store (for ～) | （～のために）用意して、（～の身に）降りかかろうとして
見出し語の復元	大学受験英熟語	in the way [in one's way] (of | ～) （～の）邪魔になって	in the way [in one's way] (of ～) | （～の）邪魔になって
見出し語の復元	大学受験英熟語	in time (for | ～) （～に）間に合って	in time (for ～) | （～に）間に合って
見出し語の復元	大学受験英熟語	insist on | 〔upon〕 ～ ～を主張する ～を言い張る	insist on 〔upon〕 ～ | ～を主張する ～を言い張る
見出し語の復元	大学受験英熟語	it appears (to | ～) that ... （Aには）...のように見〔思〕える	it appears (to ～) | that ... （Aには）...のように見〔思〕える
見出し語の復元	大学受験英熟語	it is | ～ that ... ...することは～である（形式主語のIt）	it is ～ that ... | ...することは～である（形式主語のIt）
見出し語の復元	大学受験英熟語	it is | ～ wh- ... ...かは～だ（疑問詞を導く形式主語のIt）	it is ～ wh- ... | ...かは～だ（疑問詞を導く形式主語のIt）
見出し語の復元	大学受験英熟語	it is no use | 〔good〕 ...ing ...しても無駄だ	it is no use 〔good〕 ...ing | ...しても無駄だ
見出し語の復元	大学受験英熟語	it is not until | ～ that ... ～して初めて...する	it is not until ～ that ... | ～して初めて...する
見出し語の復元	大学受験英熟語	it occurs (to | 人) that ... （人に）...が思い浮かぶ	it occurs (to 人) | that ... （人に）...が思い浮かぶ
見出し語の復元	大学受験英熟語	judging from | 〔by〕 ～ ～から判断すると	judging from 〔by〕 ～ | ～から判断すると
見出し語の復元	大学受験英熟語	keep | ～ company （人）と一緒にいる、（人）の相手をする、（話など）に付き合う	keep ～ company | （人）と一緒にいる、（人）の相手をする、（話など）に付き合う
見出し語の復元	大学受験英熟語	keep | ～ to oneself ～を秘密にしておく	keep ～ to oneself | ～を秘密にしておく
見出し語の復元	大学受験英熟語	keep | 〔bear〕 ～ in mind ～のことを心に留めておく	keep 〔bear〕 ～ in mind | ～のことを心に留めておく
見出し語の復元	大学受験英熟語	keep an eye | 〔one's eye(s)〕 on ～ ～から目を離さない ～を見張る	keep an eye 〔one's eye(s)〕 on ～ | ～から目を離さない ～を見張る
見出し語の復元	大学受験英熟語	keep one's fingers | 〔crossed〕 （幸運[成功]を）祈る	keep one's fingers 〔crossed〕 | （幸運[成功]を）祈る
見出し語の復元	大学受験英熟語	keep one's word | 〔promise〕 約束を守る	keep one's word 〔promise〕 | 約束を守る
見出し語の復元	大学受験英熟語	kind | 〔sort〕 of いくぶん ちょっと	kind 〔sort〕 of | いくぶん ちょっと
見出し語の復元	大学受験英熟語	know | ～ by heart ～をそらで覚えている ～を暗記している	know ～ by heart | ～をそらで覚えている ～を暗記している
見出し語の復元	大学受験英熟語	know | ～ by sight ～の顔を（見て）知っている	know ～ by sight | ～の顔を（見て）知っている
見出し語の復元	大学受験英熟語	learn | ～ by heart ～を暗記する = memorize	learn ～ by heart | ～を暗記する = memorize
見出し語の復元	大学受験英熟語	leave | ～ alone ～をそのままにしておく、～に干渉しない	leave ～ alone | ～をそのままにしておく、～に干渉しない
見出し語の復元	大学受験英熟語	lest | ～ (should) … ～が…しないように、～が…するといけないから	lest ～ (should) … | ～が…しないように、～が…するといけないから
見出し語の復元	大学受験英熟語	let | ～ in ～を中に入れる	let ～ in | ～を中に入れる
見出し語の復元	大学受験英熟語	live on | 〔upon〕 ～ ～で生計を立てる ～に頼って生活する	live on 〔upon〕 ～ | ～で生計を立てる ～に頼って生活する
見出し語の復元	大学受験英熟語	live/lead a | ～ life ［～］の生活をする	live/lead a ～ life | ［～］の生活をする
見出し語の復元	大学受験英熟語	look | ～ in the eye 〔face〕 ～の目〔顔〕をまっすぐ見る ～を直視する	look ～ in the eye 〔face〕 | ～の目〔顔〕をまっすぐ見る ～を直視する
見出し語の復元	大学受験英熟語	look back upon | 〔on；to〕 ～ ～を振り返る ～を回顧する	look back upon 〔on；to〕 ～ | ～を振り返る ～を回顧する
見出し語の復元	大学受験英熟語	look down on | 〔upon〕 ～ ～を見下す、～を軽蔑する	look down on 〔upon〕 ～ | ～を見下す、～を軽蔑する
見出し語の復元	大学受験英熟語	look out (for | ～) （～に）気をつける 用心する	look out (for ～) | （～に）気をつける 用心する
見出し語の復元	大学受験英熟語	look to | ～ (for ...) （...を求めるのに）～を頼みにする	look to ～ (for ...) | （...を求めるのに）～を頼みにする
見出し語の復元	大学受験英熟語	look up | ～ (in the dictionary) ～を（辞書で）調べる	look up ～ (in the dictionary) | ～を（辞書で）調べる
見出し語の復元	大学受験英熟語	make an effort | 〔efforts〕 (to do) （...しようと）努力する	make an effort 〔efforts〕 (to do) | （...しようと）努力する
見出し語の復元	大学受験英熟語	make certain (that... | 〔of ～ ; wh-...〕) 確実に...であるようにする	make certain (that... 〔of ～ ; wh-...〕) | 確実に...であるようにする
見出し語の復元	大学受験英熟語	make good (on | ～) (～(目的・約束など）を）果たす ～（損失など）を償う 成功する	make good (on ～) | (～(目的・約束など）を）果たす ～（損失など）を償う 成功する
見出し語の復元	大学受験英熟語	make progress (in | ～) （～において）進歩する〔進む〕	make progress (in ～) | （～において）進歩する〔進む〕
見出し語の復元	大学受験英熟語	make sure ( | ～) （～を）確かめる、確実に～をする	make sure (～) | （～を）確かめる、確実に～をする
見出し語の復元	大学受験英熟語	make up ( | ～) ①～を構成する、～を作り上げる ②仲直りをする ③～の埋め合わせをする	make up (～) | ①～を構成する、～を作り上げる ②仲直りをする ③～の埋め合わせをする
見出し語の復元	大学受験英熟語	many a | 〔an〕 ～ 多くの～	many a 〔an〕 ～ | 多くの～
見出し語の復元	大学受験英熟語	may [might] as well | ～ as ... ...するくらいなら～する方がましだ	may [might] as well ～ as ... | ...するくらいなら～する方がましだ
見出し語の復元	大学受験英熟語	miss out (on | ～) （好機など）を逃す、～を取り逃す	miss out (on ～) | （好機など）を逃す、～を取り逃す
見出し語の復元	大学受験英熟語	much | 〔still〕 less ～ （否定文に続いて）まして～ない	much 〔still〕 less ～ | （否定文に続いて）まして～ない
見出し語の復元	大学受験英熟語	need | 〔want〕 ...ing ...される必要がある	need 〔want〕 ...ing | ...される必要がある
見出し語の復元	大学受験英熟語	never | ～ without ...ing ～すれば必ず...する	never ～ without ...ing | ～すれば必ず...する
見出し語の復元	大学受験英熟語	no sooner | ～ than ... ～するとすぐ...する	no sooner ～ than ... | ～するとすぐ...する
見出し語の復元	大学受験英熟語	of one's own accord | 〔free will〕 自発的に 自らの自由意思で	of one's own accord 〔free will〕 | 自発的に 自らの自由意思で
見出し語の復元	大学受験英熟語	on (the | 〔an〕) average 平均して 概して	on (the 〔an〕) | average 平均して 概して
見出し語の復元	大学受験英熟語	on | ～ terms with … …と～の関係[間柄]で	on ～ terms with … | …と～の関係[間柄]で
見出し語の復元	大学受験英熟語	on a | ～ basis ～の基準[原則]で	on a ～ basis | ～の基準[原則]で
見出し語の復元	大学受験英熟語	on a | ～ scale ～な規模で[の]	on a ～ scale | ～な規模で[の]
見出し語の復元	大学受験英熟語	on board ( | ～) （乗り物）に乗って、乗って（た） = aboard	on board (～) | （乗り物）に乗って、乗って（た） = aboard
見出し語の復元	大学受験英熟語	on one's [the] way (to | ～) （～への）途中で	on one's [the] way (to ～) | （～への）途中で
見出し語の復元	大学受験英熟語	on the | ～ side ～気味で[の]	on the ～ side | ～気味で[の]
見出し語の復元	大学受験英熟語	on the part of | ～ 〔on one's part〕 ～の方〔側〕では	on the part of ～ 〔on one's part〕 | ～の方〔側〕では
見出し語の復元	大学受験英熟語	on/in behalf of | ～ [one's behalf] ～を代表して、～のために	on/in behalf of ～ [one's behalf] | ～を代表して、～のために
見出し語の復元	大学受験英熟語	one | ～, another ... 1つは～，（もう）1つは...	one ～, another ... | 1つは～，（もう）1つは...
見出し語の復元	大学受験英熟語	one | ～, the other ... 一方は～，もう一方〔残り〕は...	one ～, the other ... | 一方は～，もう一方〔残り〕は...
見出し語の復元	大学受験英熟語	part and parcel (of | ～) （～の）不可分の要素、（～の）最重要部分	part and parcel (of ～) | （～の）不可分の要素、（～の）最重要部分
見出し語の復元	大学受験英熟語	pay a visit (to | ～） （～を）訪問する	pay a visit (to ～） | （～を）訪問する
見出し語の復元	大学受験英熟語	play a part | 〔role〕 (in ～) （～において）役割を果たす	play a part 〔role〕 (in ～) | （～において）役割を果たす
見出し語の復元	大学受験英熟語	play a trick | 〔joke〕 on ～ ～をからかう	play a trick 〔joke〕 on ～ | ～をからかう
見出し語の復元	大学受験英熟語	prevent | ～ from ...ing ～が...するのを妨げる〔防ぐ〕 （主語のために）～は...できない	prevent ～ from ...ing | ～が...するのを妨げる〔防ぐ〕 （主語のために）～は...できない
見出し語の復元	大学受験英熟語	provide for | 〔against〕 ～ ～に与える ～に備える	provide for 〔against〕 ～ | ～に与える ～に備える
見出し語の復元	大学受験英熟語	provided | 〔providing〕 (that) ... もし...なら	provided 〔providing〕 (that) ... | もし...なら
見出し語の復元	大学受験英熟語	pull | ～'s leg （口調で）～をからかう[かつぐ]	pull ～'s leg | （口調で）～をからかう[かつぐ]
見出し語の復元	大学受験英熟語	put | ～ to use ～を利用〔使用〕する	put ～ to use | ～を利用〔使用〕する
見出し語の復元	大学受験英熟語	reflect upon | 〔on〕 ～ ～についてよく考える ～を振り返る	reflect upon 〔on〕 ～ | ～についてよく考える ～を振り返る
見出し語の復元	大学受験英熟語	rely on | 〔upon〕 ～ (for ...) （...について）～に頼る	rely on 〔upon〕 ～ (for ...) | （...について）～に頼る
見出し語の復元	大学受験英熟語	right now | 〔away；off〕 現在 今すぐ	right now 〔away；off〕 | 現在 今すぐ
見出し語の復元	大学受験英熟語	run into | 〔across〕 ～ ～に偶然出会う	run into 〔across〕 ～ | ～に偶然出会う
見出し語の復元	大学受験英熟語	see little | 〔much；nothing〕 of ～ ～にあまり会わない〔よく会う；まったく会わない〕	see little 〔much；nothing〕 of ～ | ～にあまり会わない〔よく会う；まったく会わない〕
見出し語の復元	大学受験英熟語	see/do the sights (of | ～) （～の）観光をする	see/do the sights (of ～) | （～の）観光をする
見出し語の復元	大学受験英熟語	serve | ～ right ～にとって当然の報いである	serve ～ right | ～にとって当然の報いである
見出し語の復元	大学受験英熟語	set | ～ free ～を解放する	set ～ free | ～を解放する
